,Term,AffectCategory,Flag,Synonym_1,Synonym_2,Synonym_3,Synonym_4,AffectCategory_#,negative,positive,fear,anger,trust,sadness,disgust,joy,anticip,surprise,features
861,bully ,anger,1,rough, hood, barbarian,,4,1,0,0,0,0,0,0,0,0,0,bully rough hood barbaria
920,blast ,fear,1,violence, bounce, detonation,,3,1,0,0,0,0,0,0,0,0,0,blast violence bounce detonati
921,blast ,anger,1,violence, bounce, detonation,,4,1,0,0,0,0,0,0,0,0,0,blast violence bounce detonati
924,blast ,surprise,1,violence, bounce, detonation,,10,1,0,0,0,0,0,0,0,0,0,blast violence bounce detonati
958,stall ,disgust,1,pontificate, see, living,,7,1,0,0,0,0,0,0,0,0,0,stall pontificate see living
961,demand ,anger,1,requirement, requisition, want,,4,1,0,0,0,0,0,0,0,0,0,demand requirement requisition want
972,adventure ,anticip,1,undertaking, venture, compact,,9,1,0,0,0,0,0,0,0,0,0,adventure undertaking venture compact
1014,shock ,surprise,1,excitation, shake, startle,,10,1,0,0,0,0,0,0,0,0,0,shock excitation shake startl
1021,exaggerate ,anger,1,magnify, overestimate, strain,,4,1,0,0,0,0,0,0,0,0,0,xaggerate magnify overestimate strai
1077,dark ,sadness,1,nebulous, dim, muddy,,6,1,0,0,0,0,0,0,0,0,0,dark nebulous dim muddy
1091,incense ,anger,1,hate, irritate, repel,,4,1,0,0,0,0,0,0,0,0,0,incense hate irritate repel
1130,hate ,fear,1,despite, malice, resentment,,3,1,0,0,0,0,0,0,0,0,0,hate despite malice resentment
1131,hate ,anger,1,despite, malice, resentment,,4,1,0,0,0,0,0,0,0,0,0,hate despite malice resentment
1138,hate ,disgust,1,despite, malice, resentment,,7,1,0,0,0,0,0,0,0,0,0,hate despite malice resentment
1158,trash ,disgust,1,rubbish, stuff, chaff,,7,1,0,0,0,0,0,0,0,0,0,trash rubbish stuff chaff
1180,shiver ,fear,1,cold, shake, quiver,,3,1,0,0,0,0,0,0,0,0,0,shiver cold shake quiver
1187,shiver ,sadness,1,cold, shake, quiver,,6,1,0,0,0,0,0,0,0,0,0,shiver cold shake quiver
1190,tough ,fear,1,rough, bully, terrorist,,3,1,0,0,0,0,0,0,0,0,0,tough rough bully terrorist
1191,tough ,anger,1,rough, bully, terrorist,,4,1,0,0,0,0,0,0,0,0,0,tough rough bully terrorist
1330,collapse ,fear,1,descent, subsidence, lapse,,3,1,0,0,0,0,0,0,0,0,0,collapse descent subsidence laps
1337,collapse ,sadness,1,descent, subsidence, lapse,,6,1,0,0,0,0,0,0,0,0,0,collapse descent subsidence laps
1338,collapse ,disgust,1,descent, subsidence, lapse,,7,1,0,0,0,0,0,0,0,0,0,collapse descent subsidence laps
1362,grant ,anticip,1,giving, accord, bestow,,9,1,0,0,0,0,0,0,0,0,0,grant giving accord bestow
1363,grant ,trust,1,giving, accord, bestow,,5,1,0,0,0,0,0,0,0,0,0,grant giving accord bestow
1369,grant ,joy,1,giving, accord, bestow,,8,1,0,0,0,0,0,0,0,0,0,grant giving accord bestow
1460,travesty ,fear,1,misinterpretation, parody, perversion,,3,1,0,0,0,0,0,0,0,0,0,travesty misinterpretation parody perversi
1467,travesty ,sadness,1,misinterpretation, parody, perversion,,6,1,0,0,0,0,0,0,0,0,0,travesty misinterpretation parody perversi
1468,travesty ,disgust,1,misinterpretation, parody, perversion,,7,1,0,0,0,0,0,0,0,0,0,travesty misinterpretation parody perversi
1503,chart ,trust,1,information, map, plan,,5,1,0,0,0,0,0,0,0,0,0,chart information map pla
1510,bear ,fear,1,brute, beast, grizzly,,3,1,0,0,0,0,0,0,0,0,0,bear brute beast grizzly
1511,bear ,anger,1,brute, beast, grizzly,,4,1,0,0,0,0,0,0,0,0,0,bear brute beast grizzly
1560,sentence ,fear,1,judgment, doom, adjudicate,,3,1,0,0,0,0,0,0,0,0,0,sentence judgment doom adjudicat
1561,sentence ,anger,1,judgment, doom, adjudicate,,4,1,0,0,0,0,0,0,0,0,0,sentence judgment doom adjudicat
1562,sentence ,anticip,1,judgment, doom, adjudicate,,9,1,0,0,0,0,0,0,0,0,0,sentence judgment doom adjudicat
1567,sentence ,sadness,1,judgment, doom, adjudicate,,6,1,0,0,0,0,0,0,0,0,0,sentence judgment doom adjudicat
1568,sentence ,disgust,1,judgment, doom, adjudicate,,7,1,0,0,0,0,0,0,0,0,0,sentence judgment doom adjudicat
1611,sore ,anger,1,soreness, pain, neuralgia,,4,1,0,0,0,0,0,0,0,0,0,sore soreness pain neuralgia
1617,sore ,sadness,1,soreness, pain, neuralgia,,6,1,0,0,0,0,0,0,0,0,0,sore soreness pain neuralgia
1649,mate ,joy,1,auxiliary, colleague, partner,,8,1,0,0,0,0,0,0,0,0,0,mate auxiliary colleague partner
1710,descent ,fear,1,decrement, ebb, wane,,3,1,0,0,0,0,0,0,0,0,0,descent decrement ebb wa
1717,descent ,sadness,1,decrement, ebb, wane,,6,1,0,0,0,0,0,0,0,0,0,descent decrement ebb wa
1724,slip ,surprise,1,guilt, trip, lapse,,10,1,0,0,0,0,0,0,0,0,0,slip guilt trip laps
1833,save ,trust,1,deliverance, rescue, redeem,,5,1,0,0,0,0,0,0,0,0,0,save deliverance rescue redeem
1839,save ,joy,1,deliverance, rescue, redeem,,8,1,0,0,0,0,0,0,0,0,0,save deliverance rescue redeem
1871,fuss ,anger,1,agitation, rout, racket,,4,1,0,0,0,0,0,0,0,0,0,fuss agitation rout racket
1877,fuss ,sadness,1,agitation, rout, racket,,6,1,0,0,0,0,0,0,0,0,0,fuss agitation rout racket
1900,lash ,fear,1,punishment, scaffold, slap,,3,1,0,0,0,0,0,0,0,0,0,lash punishment scaffold slap
1901,lash ,anger,1,punishment, scaffold, slap,,4,1,0,0,0,0,0,0,0,0,0,lash punishment scaffold slap
2020,grave ,fear,1,vice, heinous, infamous,,3,1,0,0,0,0,0,0,0,0,0,grave vice heinous infamous
2027,grave ,sadness,1,vice, heinous, infamous,,6,1,0,0,0,0,0,0,0,0,0,grave vice heinous infamous
2040,alarm ,fear,1,indication, warning, pennant,,3,1,0,0,0,0,0,0,0,0,0,alarm indication warning pennant
2044,alarm ,surprise,1,indication, warning, pennant,,10,1,0,0,0,0,0,0,0,0,0,alarm indication warning pennant
2051,kick ,anger,1,impulse, strike, flap,,4,1,0,0,0,0,0,0,0,0,0,kick impulse strike flap
2073,leader ,trust,1,dissertation, commentary, editorial,,5,1,0,0,0,0,0,0,0,0,0,leader dissertation commentary editorial
2091,hurt ,anger,1,harm, injure, outrage,,4,1,0,0,0,0,0,0,0,0,0,hurt harm injure outrag
2097,hurt ,sadness,1,harm, injure, outrage,,6,1,0,0,0,0,0,0,0,0,0,hurt harm injure outrag
2119,love ,joy,1,pleasure, like, enjoy,,8,1,0,0,0,0,0,0,0,0,0,love pleasure like enjoy
2220,intrusion ,fear,1,ingress, incursion, invasion,,3,1,0,0,0,0,0,0,0,0,0,intrusion ingress incursion invasi
2247,fell ,sadness,1,depression, level, upset,,6,1,0,0,0,0,0,0,0,0,0,fell depression level upset
2290,doom ,fear,1,necessity, devote, compel,,3,1,0,0,0,0,0,0,0,0,0,doom necessity devote compel
2358,trash ,disgust,1,detritus, waste, debris,,7,1,0,0,0,0,0,0,0,0,0,trash detritus waste debris
2370,riot ,fear,1,violence, uproar, row,,3,1,0,0,0,0,0,0,0,0,0,riot violence uproar row
2371,riot ,anger,1,violence, uproar, row,,4,1,0,0,0,0,0,0,0,0,0,riot violence uproar row
2410,prick ,fear,1,motive, urge, lash,,3,1,0,0,0,0,0,0,0,0,0,prick motive urge lash
2411,prick ,anger,1,motive, urge, lash,,4,1,0,0,0,0,0,0,0,0,0,prick motive urge lash
2414,prick ,surprise,1,motive, urge, lash,,10,1,0,0,0,0,0,0,0,0,0,prick motive urge lash
2418,prick ,disgust,1,motive, urge, lash,,7,1,0,0,0,0,0,0,0,0,0,prick motive urge lash
2440,ghost ,fear,1,specter, apparition, spectrum,,3,1,0,0,0,0,0,0,0,0,0,ghost specter apparition spectrum
2503,footing ,trust,1,situation, standing, post,,5,1,0,0,0,0,0,0,0,0,0,footing situation standing post
2543,divine ,trust,1,holy, sacred, almighty,,5,1,0,0,0,0,0,0,0,0,0,divine holy sacred almighty
2549,divine ,joy,1,holy, sacred, almighty,,8,1,0,0,0,0,0,0,0,0,0,divine holy sacred almighty
2613,clan ,trust,1,nation, breed, tribe,,5,1,0,0,0,0,0,0,0,0,0,clan nation breed trib
2693,formula ,trust,1,number, figure, digit,,5,1,0,0,0,0,0,0,0,0,0,formula number figure digit
2720,fanaticism ,fear,1,feeling, ardor, eagerness,,3,1,0,0,0,0,0,0,0,0,0,fanaticism feeling ardor eagerness
2742,start ,anticip,1,beginning, commence, begin,,9,1,0,0,0,0,0,0,0,0,0,start beginning commence begi
2791,shoot ,anger,1,punishment, gas, hang,,4,1,0,0,0,0,0,0,0,0,0,shoot punishment gas hang
2862,cement ,anticip,1,coherence, gum, paste,,9,1,0,0,0,0,0,0,0,0,0,cement coherence gum past
2863,cement ,trust,1,coherence, gum, paste,,5,1,0,0,0,0,0,0,0,0,0,cement coherence gum past
2897,fall ,sadness,1,vice, offend, trip,,6,1,0,0,0,0,0,0,0,0,0,fall vice offend trip
2980,fury ,fear,1,resentment, storm, desperation,,3,1,0,0,0,0,0,0,0,0,0,fury resentment storm desperati
2981,fury ,anger,1,resentment, storm, desperation,,4,1,0,0,0,0,0,0,0,0,0,fury resentment storm desperati
2987,fury ,sadness,1,resentment, storm, desperation,,6,1,0,0,0,0,0,0,0,0,0,fury resentment storm desperati
2990,ghost ,fear,1,book, author, poet,,3,1,0,0,0,0,0,0,0,0,0,ghost book author poet
3058,grotesque ,disgust,1,rude, barbarous, crude,,7,1,0,0,0,0,0,0,0,0,0,grotesque rude barbarous crud
3100,perturbation ,fear,1,feeling, trepidation, stew,,3,1,0,0,0,0,0,0,0,0,0,perturbation feeling trepidation stew
3121,warp ,anger,1,distortion, deform, twist,,4,1,0,0,0,0,0,0,0,0,0,warp distortion deform twist
3127,warp ,sadness,1,distortion, deform, twist,,6,1,0,0,0,0,0,0,0,0,0,warp distortion deform twist
3303,assurance ,trust,1,belief, credit, credence,,5,1,0,0,0,0,0,0,0,0,0,assurance belief credit credenc
3372,ready ,anticip,1,activity, alert, smart,,9,1,0,0,0,0,0,0,0,0,0,ready activity alert smart
3439,triumph ,joy,1,trophy, decoration, crown,,8,1,0,0,0,0,0,0,0,0,0,triumph trophy decoration crow
3464,wild ,surprise,1,excitation, distracted, raging,,10,1,0,0,0,0,0,0,0,0,0,wild excitation distracted raging
3491,lie ,anger,1,deception, fraud, counterfeit,,4,1,0,0,0,0,0,0,0,0,0,lie deception fraud counterfeit
3497,lie ,sadness,1,deception, fraud, counterfeit,,6,1,0,0,0,0,0,0,0,0,0,lie deception fraud counterfeit
3498,lie ,disgust,1,deception, fraud, counterfeit,,7,1,0,0,0,0,0,0,0,0,0,lie deception fraud counterfeit
3502,present ,anticip,1,giving, gift, donation,,9,1,0,0,0,0,0,0,0,0,0,present giving gift donati
3503,present ,trust,1,giving, gift, donation,,5,1,0,0,0,0,0,0,0,0,0,present giving gift donati
3504,present ,surprise,1,giving, gift, donation,,10,1,0,0,0,0,0,0,0,0,0,present giving gift donati
3509,present ,joy,1,giving, gift, donation,,8,1,0,0,0,0,0,0,0,0,0,present giving gift donati
3512,mystery ,anticip,1,latency, undercurrent, silence,,9,1,0,0,0,0,0,0,0,0,0,mystery latency undercurrent silenc
3530,inflation ,fear,1,money, deflation, funds,,3,1,0,0,0,0,0,0,0,0,0,inflation money deflation funds
3550,rough ,fear,1,violence, rude, bluff,,3,1,0,0,0,0,0,0,0,0,0,rough violence rude bluff
3551,rough ,anger,1,violence, rude, bluff,,4,1,0,0,0,0,0,0,0,0,0,rough violence rude bluff
3601,hoot ,anger,1,disrespect, mock, hiss,,4,1,0,0,0,0,0,0,0,0,0,hoot disrespect mock hiss
3608,hoot ,disgust,1,disrespect, mock, hiss,,7,1,0,0,0,0,0,0,0,0,0,hoot disrespect mock hiss
3650,rule ,fear,1,authority, govern, reign,,3,1,0,0,0,0,0,0,0,0,0,rule authority govern reig
3680,plunge ,fear,1,descent, plummet, crash,,3,1,0,0,0,0,0,0,0,0,0,plunge descent plummet crash
3760,timidity ,fear,1,fear, care, hesitation,,3,1,0,0,0,0,0,0,0,0,0,timidity fear care hesitati
3840,revolution ,fear,1,change, inversion, displacement,,3,1,0,0,0,0,0,0,0,0,0,revolution change inversion displacement
3841,revolution ,anger,1,change, inversion, displacement,,4,1,0,0,0,0,0,0,0,0,0,revolution change inversion displacement
3842,revolution ,anticip,1,change, inversion, displacement,,9,1,0,0,0,0,0,0,0,0,0,revolution change inversion displacement
3844,revolution ,surprise,1,change, inversion, displacement,,10,1,0,0,0,0,0,0,0,0,0,revolution change inversion displacement
3847,revolution ,sadness,1,change, inversion, displacement,,6,1,0,0,0,0,0,0,0,0,0,revolution change inversion displacement
3863,law ,trust,1,legality, enactment, charter,,5,1,0,0,0,0,0,0,0,0,0,law legality enactment charter
4014,break ,surprise,1,disclosure, divulge, reveal,,10,1,0,0,0,0,0,0,0,0,0,break disclosure divulge reveal
4063,serve ,trust,1,servant, squire, tend,,5,1,0,0,0,0,0,0,0,0,0,serve servant squire tend
4122,importance ,anticip,1,mark, moment, consequence,,9,1,0,0,0,0,0,0,0,0,0,importance mark moment consequenc
4161,bias ,anger,1,inequality, partiality, weight,,4,1,0,0,0,0,0,0,0,0,0,bias inequality partiality weight
4173,sobriety ,trust,1,temperance, moderation, forbearance,,5,1,0,0,0,0,0,0,0,0,0,sobriety temperance moderation forbearanc
4223,generosity ,trust,1,chivalry, elevation, altruism,,5,1,0,0,0,0,0,0,0,0,0,generosity chivalry elevation altruism
4229,generosity ,joy,1,chivalry, elevation, altruism,,8,1,0,0,0,0,0,0,0,0,0,generosity chivalry elevation altruism
4240,flood ,fear,1,sufficiency, tide, outpouring,,3,1,0,0,0,0,0,0,0,0,0,flood sufficiency tide outpouring
4280,hiss ,fear,1,contempt, hoot, slight,,3,1,0,0,0,0,0,0,0,0,0,hiss contempt hoot slight
4281,hiss ,anger,1,contempt, hoot, slight,,4,1,0,0,0,0,0,0,0,0,0,hiss contempt hoot slight
4303,doctor ,trust,1,advice, physician, leech,,5,1,0,0,0,0,0,0,0,0,0,doctor advice physician leech
4363,innocent ,trust,1,goodness, innocuous, harmless,,5,1,0,0,0,0,0,0,0,0,0,innocent goodness innocuous harmless
4463,agreement ,trust,1,conformity, naturalization, illustration,,5,1,0,0,0,0,0,0,0,0,0,agreement conformity naturalization illustrati
4472,cradle ,anticip,1,beginning, birth, genesis,,9,1,0,0,0,0,0,0,0,0,0,cradle beginning birth genesis
4473,cradle ,trust,1,beginning, birth, genesis,,5,1,0,0,0,0,0,0,0,0,0,cradle beginning birth genesis
4479,cradle ,joy,1,beginning, birth, genesis,,8,1,0,0,0,0,0,0,0,0,0,cradle beginning birth genesis
4653,fill ,trust,1,provision, feed, recruit,,5,1,0,0,0,0,0,0,0,0,0,fill provision feed recruit
4730,sting ,fear,1,thrill, creep, tingle,,3,1,0,0,0,0,0,0,0,0,0,sting thrill creep tingl
4752,contingent ,anticip,1,liability, possible, incidental,,9,1,0,0,0,0,0,0,0,0,0,contingent liability possible incidental
4760,mate ,fear,1,marriage, spouse, partner,,3,1,0,0,0,0,0,0,0,0,0,mate marriage spouse partner
4761,mate ,anger,1,marriage, spouse, partner,,4,1,0,0,0,0,0,0,0,0,0,mate marriage spouse partner
4763,mate ,trust,1,marriage, spouse, partner,,5,1,0,0,0,0,0,0,0,0,0,mate marriage spouse partner
4767,mate ,sadness,1,marriage, spouse, partner,,6,1,0,0,0,0,0,0,0,0,0,mate marriage spouse partner
4769,mate ,joy,1,marriage, spouse, partner,,8,1,0,0,0,0,0,0,0,0,0,mate marriage spouse partner
4780,die ,fear,1,deterioration, shake, rust,,3,1,0,0,0,0,0,0,0,0,0,die deterioration shake rust
4787,die ,sadness,1,deterioration, shake, rust,,6,1,0,0,0,0,0,0,0,0,0,die deterioration shake rust
4827,dull ,sadness,1,blunt, slack, tame,,6,1,0,0,0,0,0,0,0,0,0,dull blunt slack tam
4830,nightmare ,fear,1,imagination, vision, figment,,3,1,0,0,0,0,0,0,0,0,0,ightmare imagination vision figment
4867,decay ,sadness,1,decline, maturity, custom,,6,1,0,0,0,0,0,0,0,0,0,decay decline maturity custom
4877,cry ,sadness,1,whimper, weep, pipe,,6,1,0,0,0,0,0,0,0,0,0,cry whimper weep pip
4900,startle ,fear,1,stagger, stun, surprise,,3,1,0,0,0,0,0,0,0,0,0,startle stagger stun surpris
4904,startle ,surprise,1,stagger, stun, surprise,,10,1,0,0,0,0,0,0,0,0,0,startle stagger stun surpris
4914,trump ,surprise,1,success, stalemate, silence,,10,1,0,0,0,0,0,0,0,0,0,trump success stalemate silenc
4963,assure ,trust,1,promise, guarantee, warrant,,5,1,0,0,0,0,0,0,0,0,0,assure promise guarantee warrant
4973,warranty ,trust,1,permission, admission, accordance,,5,1,0,0,0,0,0,0,0,0,0,warranty permission admission accordanc
4982,pay ,anticip,1,payment, reimbursement, retribution,,9,1,0,0,0,0,0,0,0,0,0,pay payment reimbursement retributi
4983,pay ,trust,1,payment, reimbursement, retribution,,5,1,0,0,0,0,0,0,0,0,0,pay payment reimbursement retributi
4989,pay ,joy,1,payment, reimbursement, retribution,,8,1,0,0,0,0,0,0,0,0,0,pay payment reimbursement retributi
5020,grave ,fear,1,interment, mausoleum, tomb,,3,1,0,0,0,0,0,0,0,0,0,grave interment mausoleum tomb
5027,grave ,sadness,1,interment, mausoleum, tomb,,6,1,0,0,0,0,0,0,0,0,0,grave interment mausoleum tomb
5040,explosion ,fear,1,snap, detonation, burst,,3,1,0,0,0,0,0,0,0,0,0,xplosion snap detonation burst
5044,explosion ,surprise,1,snap, detonation, burst,,10,1,0,0,0,0,0,0,0,0,0,xplosion snap detonation burst
5050,scandal ,fear,1,vice, immorality, impropriety,,3,1,0,0,0,0,0,0,0,0,0,scandal vice immorality impropriety
5097,taint ,sadness,1,disrepute, tarnish, pollution,,6,1,0,0,0,0,0,0,0,0,0,taint disrepute tarnish polluti
5142,uncertainty ,anticip,1,chance, gambler, stake,,9,1,0,0,0,0,0,0,0,0,0,uncertainty chance gambler stak
5144,uncertainty ,surprise,1,chance, gambler, stake,,10,1,0,0,0,0,0,0,0,0,0,uncertainty chance gambler stak
5230,flounder ,fear,1,uncertainty, hesitate, depend,,3,1,0,0,0,0,0,0,0,0,0,flounder uncertainty hesitate depend
5260,doom ,fear,1,condemnation, sentence, cast,,3,1,0,0,0,0,0,0,0,0,0,doom condemnation sentence cast
5272,plan ,anticip,1,conduct, tactics, strategy,,9,1,0,0,0,0,0,0,0,0,0,plan conduct tactics strategy
5297,strip ,sadness,1,taking, fleece, shear,,6,1,0,0,0,0,0,0,0,0,0,strip taking fleece shear
5322,ferment ,anticip,1,feeling, stew, ruffle,,9,1,0,0,0,0,0,0,0,0,0,ferment feeling stew ruffl
5341,pervert ,anger,1,deterioration, prostitute, pollute,,4,1,0,0,0,0,0,0,0,0,0,pervert deterioration prostitute pollut
5348,pervert ,disgust,1,deterioration, prostitute, pollute,,7,1,0,0,0,0,0,0,0,0,0,pervert deterioration prostitute pollut
5363,word ,trust,1,promise, vow, parole,,5,1,0,0,0,0,0,0,0,0,0,word promise vow parol
5441,rocket ,anger,1,attack, bomb, blast,,4,1,0,0,0,0,0,0,0,0,0,rocket attack bomb blast
5501,jerk ,anger,1,traction, twitch, wrench,,4,1,0,0,0,0,0,0,0,0,0,jerk traction twitch wrench
5504,jerk ,surprise,1,traction, twitch, wrench,,10,1,0,0,0,0,0,0,0,0,0,jerk traction twitch wrench
5533,signature ,trust,1,security, seal, stamp,,5,1,0,0,0,0,0,0,0,0,0,signature security seal stamp
5543,show ,trust,1,attention, indicate, review,,5,1,0,0,0,0,0,0,0,0,0,show attention indicate review
5617,weariness ,sadness,1,pain, stew, despair,,6,1,0,0,0,0,0,0,0,0,0,weariness pain stew despair
5700,heighten ,fear,1,aggravation, aggravate, sour,,3,1,0,0,0,0,0,0,0,0,0,heighten aggravation aggravate sour
5730,hurt ,fear,1,cut, pain, neuralgia,,3,1,0,0,0,0,0,0,0,0,0,hurt cut pain neuralgia
5731,hurt ,anger,1,cut, pain, neuralgia,,4,1,0,0,0,0,0,0,0,0,0,hurt cut pain neuralgia
5737,hurt ,sadness,1,cut, pain, neuralgia,,6,1,0,0,0,0,0,0,0,0,0,hurt cut pain neuralgia
5790,casualty ,fear,1,adversity, rub, check,,3,1,0,0,0,0,0,0,0,0,0,casualty adversity rub check
5791,casualty ,anger,1,adversity, rub, check,,4,1,0,0,0,0,0,0,0,0,0,casualty adversity rub check
5797,casualty ,sadness,1,adversity, rub, check,,6,1,0,0,0,0,0,0,0,0,0,casualty adversity rub check
5803,honor ,trust,1,respect, esteem, regard,,5,1,0,0,0,0,0,0,0,0,0,honor respect esteem regard
5888,dirty ,disgust,1,muddy, overcast, dun,,7,1,0,0,0,0,0,0,0,0,0,dirty muddy overcast du
5983,account ,trust,1,credit, trust, score,,5,1,0,0,0,0,0,0,0,0,0,account credit trust scor
6011,fraud ,anger,1,ringer, liar, humbug,,4,1,0,0,0,0,0,0,0,0,0,fraud ringer liar humbug
6030,punch ,fear,1,attack, kick, pass,,3,1,0,0,0,0,0,0,0,0,0,punch attack kick pass
6031,punch ,anger,1,attack, kick, pass,,4,1,0,0,0,0,0,0,0,0,0,punch attack kick pass
6034,punch ,surprise,1,attack, kick, pass,,10,1,0,0,0,0,0,0,0,0,0,punch attack kick pass
6037,punch ,sadness,1,attack, kick, pass,,6,1,0,0,0,0,0,0,0,0,0,punch attack kick pass
6042,glow ,anticip,1,feeling, gusto, warmth,,9,1,0,0,0,0,0,0,0,0,0,glow feeling gusto warmth
6043,glow ,trust,1,feeling, gusto, warmth,,5,1,0,0,0,0,0,0,0,0,0,glow feeling gusto warmth
6049,glow ,joy,1,feeling, gusto, warmth,,8,1,0,0,0,0,0,0,0,0,0,glow feeling gusto warmth
6080,darkness ,fear,1,blackness, color, tone,,3,1,0,0,0,0,0,0,0,0,0,darkness blackness color t
6081,darkness ,anger,1,blackness, color, tone,,4,1,0,0,0,0,0,0,0,0,0,darkness blackness color t
6087,darkness ,sadness,1,blackness, color, tone,,6,1,0,0,0,0,0,0,0,0,0,darkness blackness color t
6180,bad ,fear,1,wrong, unequal, tortious,,3,1,0,0,0,0,0,0,0,0,0,bad wrong unequal tortious
6181,bad ,anger,1,wrong, unequal, tortious,,4,1,0,0,0,0,0,0,0,0,0,bad wrong unequal tortious
6187,bad ,sadness,1,wrong, unequal, tortious,,6,1,0,0,0,0,0,0,0,0,0,bad wrong unequal tortious
6223,accord ,trust,1,agreement, accordance, concordance,,5,1,0,0,0,0,0,0,0,0,0,accord agreement accordance concordanc
6307,oddity ,sadness,1,insanity, twist, eccentricity,,6,1,0,0,0,0,0,0,0,0,0,ddity insanity twist eccentricity
6308,oddity ,disgust,1,insanity, twist, eccentricity,,7,1,0,0,0,0,0,0,0,0,0,ddity insanity twist eccentricity
6310,mortification ,fear,1,disease, corruption, caries,,3,1,0,0,0,0,0,0,0,0,0,mortification disease corruption caries
6312,mortification ,anticip,1,disease, corruption, caries,,9,1,0,0,0,0,0,0,0,0,0,mortification disease corruption caries
6317,mortification ,sadness,1,disease, corruption, caries,,6,1,0,0,0,0,0,0,0,0,0,mortification disease corruption caries
6318,mortification ,disgust,1,disease, corruption, caries,,7,1,0,0,0,0,0,0,0,0,0,mortification disease corruption caries
6320,smother ,fear,1,killing, stifle, drown,,3,1,0,0,0,0,0,0,0,0,0,smother killing stifle drow
